/ d 755 4096 0 0 5 24 6 46
bin d 755 4096 0 0 6 1 1 22 /
dev d 755 4096 0 0 6 1 1 23 /
lib64 d 755 4096 0 0 6 1 1 23 /
mnt d 755 4096 0 0 6 1 1 23 /
root d 700 4096 0 0 6 1 1 23 /
snap d 755 4096 0 0 6 1 1 23 /
sys d 755 4096 0 0 6 1 1 23 /
var d 755 4096 0 0 6 1 1 23 /
boot d 755 4096 0 0 6 1 1 23 /
etc d 755 4096 0 0 6 1 1 23 /
lost+found d 700 4096 0 0 6 1 1 23 /
opt d 755 4096 0 0 6 1 1 23 /
run d 755 4096 0 0 6 1 1 23 /
srv d 755 4096 0 0 6 1 1 23 /
cdrom d 755 4096 0 0 6 1 1 24 /
home d 755 4096 0 0 6 1 1 24 /
lib d 755 4096 0 0 6 1 1 24 /
media d 755 4096 0 0 6 1 1 24 /
proc d 755 4096 0 0 6 1 1 24 /
sbin d 755 4096 0 0 6 1 1 24 /
usr d 755 4096 0 0 6 1 1 24 /
yoon d 755 4096 1000 1000 6 1 1 25 /
jang d 755 4096 1001 1001 6 1 1 25 /
cho d 755 4096 1002 1002 6 1 1 25 /
song d 755 4096 1003 1003 6 1 1 25 /
yoo d 755 4096 1004 1004 6 1 1 25 /
.cache d 700 4096 1000 1000 6 1 1 28 /
.config d 700 4096 1000 1000 6 1 1 28 /
.gnupg d 700 4096 1000 1000 6 1 1 29 /
.local d 700 4096 1000 1000 6 1 1 29 /
